test_case,graph_name,error_rate,algo,ec,n,m_init,m_updates,prediction_accuracy,case1_count,case2_count,online_total_us,online_avg_us_per_update,classical_total_us,classical_avg_us_per_update,speedup_vs_classical
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.15_case01_m200,synthetic,0.1500,fullydynamic,noec,500,1983,200,0.4400,88,112,12143.8350,60.7192,220.8560,1.1043,0.0182
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.15_case01_m200,synthetic,0.1500,fullydynamic,ec,500,1983,200,0.4400,88,112,6940.7710,34.7039,116.9000,0.5845,0.0168
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.15_case02_m200,synthetic,0.1500,fullydynamic,noec,500,1983,200,0.8500,170,30,1469.1790,7.3459,89.1810,0.4459,0.0607
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.15_case02_m200,synthetic,0.1500,fullydynamic,ec,500,1983,200,0.8500,170,30,1609.9530,8.0498,86.4000,0.4320,0.0537
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.15_case03_m200,synthetic,0.1500,fullydynamic,noec,500,1983,200,0.4450,89,111,10356.5820,51.7829,187.8710,0.9394,0.0181
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.15_case03_m200,synthetic,0.1500,fullydynamic,ec,500,1983,200,0.4450,89,111,8056.7760,40.2839,136.8180,0.6841,0.0170
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.20_case00_m200,synthetic,0.2000,fullydynamic,noec,500,1983,200,0.8000,160,40,2882.5130,14.4126,90.7010,0.4535,0.0315
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.20_case00_m200,synthetic,0.2000,fullydynamic,ec,500,1983,200,0.8000,160,40,2294.8270,11.4741,87.4980,0.4375,0.0381
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.20_case01_m200,synthetic,0.2000,fullydynamic,noec,500,1983,200,0.6300,126,74,8416.3910,42.0820,84.4610,0.4223,0.0100
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.20_case01_m200,synthetic,0.2000,fullydynamic,ec,500,1983,200,0.6300,126,74,5609.7270,28.0486,82.6120,0.4131,0.0147
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.20_case02_m200,synthetic,0.2000,fullydynamic,noec,500,1983,200,0.8000,160,40,3219.9540,16.0998,104.2170,0.5211,0.0324
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.20_case02_m200,synthetic,0.2000,fullydynamic,ec,500,1983,200,0.8000,160,40,3331.6290,16.6581,101.9080,0.5095,0.0306
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.20_case03_m200,synthetic,0.2000,fullydynamic,noec,500,1983,200,0.0250,5,195,19697.0490,98.4852,75.8220,0.3791,0.0038
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.20_case03_m200,synthetic,0.2000,fullydynamic,ec,500,1983,200,0.0250,5,195,13884.2450,69.4212,72.6400,0.3632,0.0052
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.30_case00_m200,synthetic,0.3000,fullydynamic,noec,500,1983,200,0.0650,13,187,14388.1800,71.9409,69.0560,0.3453,0.0048
