test_case,graph_name,error_rate,algo,ec,n,m_init,m_updates,prediction_accuracy,case1_count,case2_count,online_total_us,online_avg_us_per_update,classical_total_us,classical_avg_us_per_update,speedup_vs_classical
graph_synthetic_mode_incremental_strategy_prefix_err0.20_case03_m200,synthetic,0.2000,incremental,ec,500,1983,200,0.8000,160,40,126.8780,0.6344,25.4430,0.1272,0.2005
graph_synthetic_mode_incremental_strategy_prefix_err0.30_case00_m200,synthetic,0.3000,incremental,noec,500,1983,200,0.6000,120,80,285.0670,1.4253,26.2010,0.1310,0.0919
graph_synthetic_mode_incremental_strategy_prefix_err0.30_case00_m200,synthetic,0.3000,incremental,ec,500,1983,200,0.6000,120,80,420.0970,2.1005,24.2340,0.1212,0.0577
graph_synthetic_mode_incremental_strategy_prefix_err0.30_case01_m200,synthetic,0.3000,incremental,noec,500,1983,200,0.3950,79,121,507.8900,2.5394,26.8090,0.1340,0.0528
graph_synthetic_mode_incremental_strategy_prefix_err0.30_case01_m200,synthetic,0.3000,incremental,ec,500,1983,200,0.3950,79,121,918.9560,4.5948,41.6990,0.2085,0.0454
graph_synthetic_mode_incremental_strategy_prefix_err0.30_case02_m200,synthetic,0.3000,incremental,noec,500,1983,200,0.7000,140,60,159.0970,0.7955,24.0170,0.1201,0.1510
graph_synthetic_mode_incremental_strategy_prefix_err0.30_case02_m200,synthetic,0.3000,incremental,ec,500,1983,200,0.7000,140,60,225.9990,1.1300,24.5210,0.1226,0.1085
graph_synthetic_mode_incremental_strategy_prefix_err0.30_case03_m200,synthetic,0.3000,incremental,noec,500,1983,200,0.0850,17,183,1316.7700,6.5838,27.3450,0.1367,0.0208
graph_synthetic_mode_incremental_strategy_prefix_err0.30_case03_m200,synthetic,0.3000,incremental,ec,500,1983,200,0.0850,17,183,1920.9780,9.6049,30.0450,0.1502,0.0156
graph_synthetic_mode_incremental_strategy_prefix_err0.50_case00_m200,synthetic,0.5000,incremental,noec,500,1983,200,0.0050,1,199,1220.9470,6.1047,27.0500,0.1353,0.0222
graph_synthetic_mode_incremental_strategy_prefix_err0.50_case00_m200,synthetic,0.5000,incremental,ec,500,1983,200,0.0050,1,199,2242.0760,11.2104,26.4040,0.1320,0.0118
graph_synthetic_mode_incremental_strategy_prefix_err0.50_case01_m200,synthetic,0.5000,incremental,noec,500,1983,200,0.5000,100,100,370.9230,1.8546,26.6930,0.1335,0.0720
graph_synthetic_mode_incremental_strategy_prefix_err0.50_case01_m200,synthetic,0.5000,incremental,ec,500,1983,200,0.5000,100,100,557.9640,2.7898,30.7940,0.1540,0.0552
graph_synthetic_mode_incremental_strategy_prefix_err0.50_case02_m200,synthetic,0.5000,incremental,noec,500,1983,200,0.4300,86,114,490.4950,2.4525,25.5090,0.1275,0.0520
graph_synthetic_mode_incremental_strategy_prefix_err0.50_case02_m200,synthetic,0.5000,incremental,ec,500,1983,200,0.4300,86,114,729.0450,3.6452,26.5870,0.1329,0.0365
graph_synthetic_mode_incremental_strategy_prefix_err0.50_case03_m200,synthetic,0.5000,incremental,noec,500,1983,200,0.5000,100,100,362.8560,1.8143,21.9670,0.1098,0.0605
graph_synthetic_mode_incremental_strategy_prefix_err0.50_case03_m200,synthetic,0.5000,incremental,ec,500,1983,200,0.5000,100,100,503.5270,2.5176,21.0480,0.1052,0.0418
graph_synthetic_mode_incremental_strategy_prefix_err0.70_case00_m200,synthetic,0.7000,incremental,noec,500,1983,200,0.3000,60,140,694.0650,3.4703,22.3950,0.1120,0.0323
graph_synthetic_mode_incremental_strategy_prefix_err0.70_case00_m200,synthetic,0.7000,incremental,ec,500,1983,200,0.3000,60,140,924.1620,4.6208,24.1190,0.1206,0.0261
graph_synthetic_mode_incremental_strategy_prefix_err0.70_case01_m200,synthetic,0.7000,incremental,noec,500,1983,200,0.1000,20,180,1019.8370,5.0992,22.2720,0.1114,0.0218
graph_synthetic_mode_incremental_strategy_prefix_err0.70_case01_m200,synthetic,0.7000,incremental,ec,500,1983,200,0.1000,20,180,1623.2360,8.1162,23.0790,0.1154,0.0142
graph_synthetic_mode_incremental_strategy_prefix_err0.70_case02_m200,synthetic,0.7000,incremental,noec,500,1983,200,0.3000,60,140,673.1990,3.3660,27.1220,0.1356,0.0403
graph_synthetic_mode_incremental_strategy_prefix_err0.70_case02_m200,synthetic,0.7000,incremental,ec,500,1983,200,0.3000,60,140,980.0380,4.9002,26.6640,0.1333,0.0272
graph_synthetic_mode_incremental_strategy_prefix_err0.70_case03_m200,synthetic,0.7000,incremental,noec,500,1983,200,0.3000,60,140,671.5990,3.3580,23.3740,0.1169,0.0348
graph_synthetic_mode_incremental_strategy_prefix_err0.70_case03_m200,synthetic,0.7000,incremental,ec,500,1983,200,0.3000,60,140,940.2030,4.7010,23.7650,0.1188,0.0253
graph_synthetic_mode_incremental_strategy_prefix_err1.00_case00_m200,synthetic,1.0000,incremental,noec,500,1983,200,0.0000,0,200,1237.6390,6.1882,25.2310,0.1262,0.0204
graph_synthetic_mode_incremental_strategy_prefix_err1.00_case00_m200,synthetic,1.0000,incremental,ec,500,1983,200,0.0000,0,200,1815.9360,9.0797,24.2080,0.1210,0.0133
graph_synthetic_mode_incremental_strategy_prefix_err1.00_case01_m200,synthetic,1.0000,incremental,noec,500,1983,200,0.0000,0,200,1377.2070,6.8860,24.5820,0.1229,0.0178
graph_synthetic_mode_incremental_strategy_prefix_err1.00_case01_m200,synthetic,1.0000,incremental,ec,500,1983,200,0.0000,0,200,2103.6350,10.5182,26.9320,0.1347,0.0128
graph_synthetic_mode_incremental_strategy_prefix_err1.00_case02_m200,synthetic,1.0000,incremental,noec,500,1983,200,0.0000,0,200,2407.3970,12.0370,29.4700,0.1474,0.0122
graph_synthetic_mode_incremental_strategy_prefix_err1.00_case02_m200,synthetic,1.0000,incremental,ec,500,1983,200,0.0000,0,200,1999.2600,9.9963,27.5260,0.1376,0.0138
graph_synthetic_mode_incremental_strategy_prefix_err1.00_case03_m200,synthetic,1.0000,incremental,noec,500,1983,200,0.0000,0,200,1227.8820,6.1394,23.6810,0.1184,0.0193
graph_synthetic_mode_incremental_strategy_prefix_err1.00_case03_m200,synthetic,1.0000,incremental,ec,500,1983,200,0.0000,0,200,1825.6220,9.1281,23.6440,0.1182,0.0130
